"scenario_id","n_AB","n_covariates","population_overlap","effect_modifiers","method","bias","rmse","coverage","ess_mean","convergence_rate"
"S039",500,3,"high","two","Bucher",-0.081717884448514,0.27916128932066,0.926,500,1
"S039",500,3,"high","two","EbArm",-0.0222342332059137,0.262350161327653,0.937,462.294395693053,1
"S039",500,3,"high","two","EbEL",-0.017022587114401,0.275280636729014,0.926,462.561207878763,1
"S039",500,3,"high","two","EbTotal",-0.0191948672946252,0.274523390268291,0.927,468.638218502727,1
"S039",500,3,"high","two","SigTotal",-0.0191948672975372,0.274523390266113,0.927,468.638218502669,1
"S040",100,3,"medium","two","Bucher",-0.189334596040202,0.493978343412809,0.934,100,1
"S040",100,3,"medium","two","EbArm",-0.0362147747354641,0.535596621670111,0.95,65.9011697518324,1
"S040",100,3,"medium","two","EbEL",-0.0264352236185665,0.590562779130344,0.938,57.0857992746581,1
"S040",100,3,"medium","two","EbTotal",-0.0361655765824782,0.540025701086106,0.939,69.936275280645,1
"S040",100,3,"medium","two","SigTotal",-0.0361655765815865,0.54002570105839,0.939,69.9362752819815,1
"S041",300,3,"medium","two","Bucher",-0.184301733119366,0.356821868491315,0.901,300,1
"S041",300,3,"medium","two","EbArm",-0.036408563087213,0.328476789031809,0.95,208.581094201094,1
"S041",300,3,"medium","two","EbEL",-0.0366864755401922,0.398322486528515,0.926,148.385797121638,1
"S041",300,3,"medium","two","EbTotal",-0.0305291551346144,0.344050258173365,0.934,213.477732175642,1
"S041",300,3,"medium","two","SigTotal",-0.0305291551346144,0.344050258173365,0.934,213.477732175642,1
"S042",500,3,"medium","two","Bucher",-0.181532309037879,0.309382140893066,0.898,500,1
"S042",500,3,"medium","two","EbArm",-0.0274346271781218,0.262479167797508,0.958,352.474278260115,1
"S042",500,3,"medium","two","EbEL",-0.0342889267095656,0.329651159362697,0.95,217.513209027886,1
"S042",500,3,"medium","two","EbTotal",-0.0274732729995068,0.273983567812149,0.952,358.262706598584,1
"S042",500,3,"medium","two","SigTotal",-0.0274732729968879,0.273983567822351,0.952,358.262706599043,1
"S043",100,3,"low","two","Bucher",-0.360149353078753,0.571900171228646,0.889,100,1
"S043",100,3,"low","two","EbArm",-0.0890854256409963,3.0084796675819,0.89,26.5471385658921,0.968
"S043",100,3,"low","two","EbEL",-0.0795314604021798,1.17813057463119,0.797,13.7963201935973,1
"S043",100,3,"low","two","EbTotal",-0.0469351831934052,0.854751156836432,0.899,29.4709244019323,1
"S043",100,3,"low","two","SigTotal",-0.0469351831928913,0.854751156790814,0.899,29.4709244030391,1
"S044",300,3,"low","two","Bucher",-0.330636411398035,0.446631449876554,0.811,300,1
"S044",300,3,"low","two","EbArm",-0.0153731122423946,0.435979429642943,0.958,85.1875261732096,1
"S044",300,3,"low","two","EbEL",-0.0629759519641705,0.819164248839232,0.871,22.2742074569945,1
"S044",300,3,"low","two","EbTotal",-0.0214805748815772,0.456714842606546,0.942,86.9533905451869,1
"S044",300,3,"low","two","SigTotal",-0.0214805748815772,0.456714842606546,0.942,86.9533905451869,1
"S045",500,3,"low","two","Bucher",-0.32556225603818,0.415582038776882,0.765,500,1
"S045",500,3,"low","two","EbArm",-0.0135880657855042,0.348799410174571,0.958,142.549481659188,1
"S045",500,3,"low","two","EbEL",-0.067416701866464,0.760434064118905,0.87,25.5679731001689,1
"S045",500,3,"low","two","EbTotal",-0.0123581150008241,0.368296771803545,0.951,143.61537999036,1
"S045",500,3,"low","two","SigTotal",-0.01235811499497,0.36829677179421,0.951,143.615379988789,1
"S046",100,6,"high","two","Bucher",-0.0966267758034514,0.466127004716242,0.951,100,1
"S046",100,6,"high","two","EbArm",-0.0266871220147754,0.471531473954209,0.963,80.1515287666413,1
